time	-I(Ls1)	-I(Ls2)
4.133107199787327e-010	5.145804e-003	2.932145e-003
4.143107199787327e-010	5.157690e-003	2.623321e-003
4.153107199787327e-010	5.170990e-003	2.312523e-003
4.163107199787327e-010	5.185665e-003	1.999863e-003
4.173107199787327e-010	5.201670e-003	1.685468e-003
4.183107199787327e-010	5.218958e-003	1.369477e-003
4.193107199787326e-010	5.237473e-003	1.052043e-003
4.203107199787326e-010	5.257156e-003	7.333381e-004
4.213107199787326e-010	5.277942e-003	4.135513e-004
4.223107199787326e-010	5.299760e-003	9.289438e-005
4.233107199787326e-010	5.322534e-003	-2.283967e-004
4.243107199787326e-010	5.346181e-003	-5.500591e-004
4.253107199787326e-010	5.370615e-003	-8.718001e-004
4.263107199787326e-010	5.395743e-003	-1.193295e-003
4.273107199787326e-010	5.421467e-003	-1.514187e-003
4.283107199787326e-010	5.447687e-003	-1.834083e-003
4.293107199787326e-010	5.474303e-003	-2.152557e-003
4.303107199787326e-010	5.501225e-003	-2.469155e-003
4.313107199787326e-010	5.528385e-003	-2.783393e-003
4.323107199787326e-010	5.555773e-003	-3.094768e-003
4.333107199787326e-010	5.583545e-003	-3.402759e-003
4.343107199787326e-010	5.612143e-003	-3.706841e-003
4.353107199787326e-010	5.642382e-003	-4.006512e-003
4.363107199787326e-010	5.675524e-003	-4.301292e-003
4.373107199787326e-010	5.713180e-003	-4.590731e-003
4.383107199787326e-010	5.756954e-003	-4.874405e-003
4.393107199787326e-010	5.808048e-003	-5.151917e-003
4.403107199787326e-010	5.867141e-003	-5.422890e-003
4.413107199787326e-010	5.934523e-003	-5.686961e-003
4.423107199787326e-010	6.010193e-003	-5.943783e-003
4.433107199787326e-010	6.093964e-003	-6.193022e-003
4.443107199787326e-010	6.185582e-003	-6.434359e-003
4.453107199787326e-010	6.284776e-003	-6.667489e-003
4.463107199787326e-010	6.391259e-003	-6.892124e-003
4.473107199787326e-010	6.504741e-003	-7.107989e-003
4.483107199787325e-010	6.624931e-003	-7.314826e-003
4.493107199787325e-010	6.751538e-003	-7.512392e-003
4.503107199787325e-010	6.884272e-003	-7.700461e-003
4.513107199787325e-010	7.022842e-003	-7.878823e-003
