time	V(VCj1a,VCj2b)	V(VCj2a,VCj2b)
3.963107199787327e-010	-4.950059e-001	3.369573e-001
3.973107199787327e-010	-4.751299e-001	3.360679e-001
3.983107199787327e-010	-4.553016e-001	3.351407e-001
3.993107199787327e-010	-4.355161e-001	3.341732e-001
4.003107199787327e-010	-4.157687e-001	3.331626e-001
4.013107199787327e-010	-3.960541e-001	3.321058e-001
4.023107199787327e-010	-3.763669e-001	3.309994e-001
4.033107199787327e-010	-3.567019e-001	3.298397e-001
4.043107199787327e-010	-3.370534e-001	3.286225e-001
4.053107199787327e-010	-3.174157e-001	3.273430e-001
4.063107199787327e-010	-2.977830e-001	3.259962e-001
4.073107199787327e-010	-2.781495e-001	3.245760e-001
4.083107199787327e-010	-2.585094e-001	3.230758e-001
4.093107199787327e-010	-2.388568e-001	3.214882e-001
4.103107199787327e-010	-2.191858e-001	3.198046e-001
4.113107199787327e-010	-1.994906e-001	3.180156e-001
4.123107199787327e-010	-1.797654e-001	3.161099e-001
4.133107199787327e-010	-1.600044e-001	3.140752e-001
4.143107199787327e-010	-1.402021e-001	3.118970e-001
4.153107199787327e-010	-1.203528e-001	3.095586e-001
4.163107199787327e-010	-1.004512e-001	3.070412e-001
4.173107199787327e-010	-8.049202e-002	3.043226e-001
4.183107199787327e-010	-6.047019e-002	3.013776e-001
4.193107199787326e-010	-4.038087e-002	2.981768e-001
4.203107199787326e-010	-2.021942e-002	2.946866e-001
4.213107199787326e-010	1.862645e-005	2.908683e-001
4.223107199787326e-010	2.033734e-002	2.866778e-001
4.233107199787326e-010	4.074040e-002	2.820650e-001
4.243107199787326e-010	6.123114e-002	2.769737e-001
4.253107199787326e-010	8.181210e-002	2.713420e-001
4.263107199787326e-010	1.024847e-001	2.651025e-001
4.273107199787326e-010	1.232483e-001	2.581840e-001
4.283107199787326e-010	1.440985e-001	2.505128e-001
4.293107199787326e-010	1.650227e-001	2.420159e-001
4.303107199787326e-010	1.859925e-001	2.326234e-001
4.313107199787326e-010	2.069455e-001	2.222725e-001
4.323107199787326e-010	2.277196e-001	2.109048e-001
4.333107199787326e-010	2.479701e-001	1.984714e-001
4.343107199787326e-010	2.671419e-001	1.849466e-001
4.353107199787326e-010	2.844424e-001	1.703232e-001
4.363107199787326e-010	2.989396e-001	1.545975e-001
4.373107199787326e-010	3.099577e-001	1.377708e-001
4.383107199787326e-010	3.174989e-001	1.198531e-001
4.393107199787326e-010	3.222121e-001	1.008601e-001
4.403107199787326e-010	3.249511e-001	8.081107e-002
4.413107199787326e-010	3.264802e-001	5.972803e-002
4.423107199787326e-010	3.273846e-001	3.763647e-002
4.433107199787326e-010	3.280084e-001	1.456413e-002
4.443107199787326e-010	3.285148e-001	-9.459803e-003
4.453107199787326e-010	3.289825e-001	-3.440476e-002
4.463107199787326e-010	3.294470e-001	-6.023898e-002
4.473107199787326e-010	3.299237e-001	-8.692957e-002
