time	V(vcj2b)
9.823107199787359e-010	9.666213e-001
9.833107199787360e-010	9.571583e-001
9.843107199787361e-010	9.474229e-001
9.853107199787362e-010	9.374238e-001
9.863107199787363e-010	9.271696e-001
9.873107199787364e-010	9.166685e-001
9.883107199787365e-010	9.059292e-001
9.893107199787366e-010	8.949598e-001
9.903107199787367e-010	8.837686e-001
9.913107199787368e-010	8.723637e-001
9.923107199787369e-010	8.607531e-001
9.933107199787370e-010	8.489446e-001
9.943107199787371e-010	8.369460e-001
9.953107199787372e-010	8.247648e-001
9.963107199787373e-010	8.124086e-001
9.973107199787374e-010	7.998846e-001
9.983107199787375e-010	7.872000e-001
9.993107199787376e-010	7.743616e-001
1.000310719978738e-009	7.613763e-001
1.001310719978738e-009	7.482506e-001
1.002310719978738e-009	7.349910e-001
1.003310719978738e-009	7.216038e-001
1.004310719978738e-009	7.080950e-001
1.005310719978738e-009	6.944704e-001
1.006310719978738e-009	6.807357e-001
1.007310719978738e-009	6.668965e-001
1.008310719978739e-009	6.529580e-001
1.009310719978739e-009	6.389254e-001
1.010310719978739e-009	6.248035e-001
1.011310719978739e-009	6.105973e-001
1.012310719978739e-009	5.963111e-001
1.013310719978739e-009	5.819494e-001
1.014310719978739e-009	5.675166e-001
1.015310719978739e-009	5.530165e-001
1.016310719978739e-009	5.384535e-001
1.017310719978739e-009	5.238311e-001
1.018310719978740e-009	5.091531e-001
1.019310719978740e-009	4.944231e-001
1.020310719978740e-009	4.796447e-001
1.021310719978740e-009	4.648214e-001
1.022310719978740e-009	4.499566e-001
1.023310719978740e-009	4.350537e-001
1.024310719978740e-009	4.201162e-001
1.025310719978740e-009	4.051477e-001
1.026310719978740e-009	3.901518e-001
1.027310719978740e-009	3.751322e-001
1.028310719978741e-009	3.600930e-001
1.029310719978741e-009	3.450385e-001
1.030310719978741e-009	3.299733e-001
1.031310719978741e-009	3.149024e-001
1.032310719978741e-009	2.998316e-001
1.033310719978741e-009	2.847672e-001
1.034310719978741e-009	2.697160e-001
1.035310719978741e-009	2.546862e-001
1.036310719978741e-009	2.396867e-001
1.037310719978741e-009	2.247277e-001
1.038310719978742e-009	2.098205e-001
1.039310719978742e-009	1.949781e-001
1.040310719978742e-009	1.802149e-001
1.041310719978742e-009	1.655470e-001
1.042310719978742e-009	1.509923e-001
1.043310719978742e-009	1.365716e-001
1.044310719978742e-009	1.223102e-001
1.045310719978742e-009	1.082425e-001
1.046310719978742e-009	9.441619e-002
1.047310719978742e-009	8.089714e-002
1.048310719978743e-009	6.777185e-002
1.049310719978743e-009	5.514148e-002
1.050310719978743e-009	4.310437e-002
1.051310719978743e-009	3.173850e-002
1.052310719978743e-009	2.109645e-002
1.053310719978743e-009	1.120986e-002
1.054310719978743e-009	2.095391e-003
1.055310719978743e-009	-6.239259e-003
1.056310719978743e-009	-1.379038e-002
1.057310719978743e-009	-2.055622e-002
1.058310719978744e-009	-2.653641e-002
1.059310719978744e-009	-3.173158e-002
1.060310719978744e-009	-3.614322e-002
1.061310719978744e-009	-3.977361e-002
1.062310719978744e-009	-4.262578e-002
1.063310719978744e-009	-4.470353e-002
1.064310719978744e-009	-4.601136e-002
1.065310719978744e-009	-4.655454e-002
1.066310719978744e-009	-4.633907e-002
1.067310719978744e-009	-4.537167e-002
1.068310719978745e-009	-4.365981e-002
1.069310719978745e-009	-4.121166e-002
1.070310719978745e-009	-3.803615e-002
1.071310719978745e-009	-3.414289e-002
1.072310719978745e-009	-2.954219e-002
1.073310719978745e-009	-2.424509e-002
1.074310719978745e-009	-1.826328e-002
1.075310719978745e-009	-1.160914e-002
1.076310719978745e-009	-4.295679e-003
1.077310719978745e-009	3.663430e-003
1.078310719978746e-009	1.225391e-002
1.079310719978746e-009	2.146086e-002
1.080310719978746e-009	3.126882e-002
1.081310719978746e-009	4.166176e-002
1.082310719978746e-009	5.262310e-002
1.083310719978746e-009	6.413574e-002
1.084310719978746e-009	7.618209e-002
1.085310719978746e-009	8.874409e-002
1.087310719978746e-009	1.153405e-001
1.089310719978747e-009	1.437721e-001
1.092310719978747e-009	1.895114e-001
1.095310719978747e-009	2.384643e-001
1.098310719978748e-009	2.900558e-001
1.101310719978748e-009	3.436986e-001
1.104310719978748e-009	3.988011e-001
