time	V(N001,VCj2b)	V(N002,VCj2b)
4.143107199787327e-010	-1.223603e-001	3.265087e-001
4.153107199787327e-010	-1.024663e-001	3.226850e-001
4.163107199787327e-010	-8.251524e-002	3.186803e-001
4.173107199787327e-010	-6.250191e-002	3.144746e-001
4.183107199787327e-010	-4.242146e-002	3.100444e-001
4.193107199787326e-010	-2.226922e-002	3.053628e-001
4.203107199787326e-010	-2.040714e-003	3.003987e-001
4.213107199787326e-010	1.826826e-002	2.951164e-001
4.223107199787326e-010	3.866157e-002	2.894750e-001
4.233107199787326e-010	5.914271e-002	2.834278e-001
4.243107199787326e-010	7.971478e-002	2.769226e-001
4.253107199787326e-010	1.003801e-001	2.699010e-001
4.263107199787326e-010	1.211403e-001	2.622993e-001
4.273107199787326e-010	1.419950e-001	2.540495e-001
4.283107199787326e-010	1.629409e-001	2.450808e-001
4.293107199787326e-010	1.839683e-001	2.353218e-001
4.303107199787326e-010	2.050551e-001	2.247035e-001
4.313107199787326e-010	2.261527e-001	2.131624e-001
4.323107199787326e-010	2.471418e-001	2.006411e-001
4.333107199787326e-010	2.677543e-001	1.870890e-001
4.343107199787326e-010	2.875219e-001	1.724734e-001
4.353107199787326e-010	3.057514e-001	1.567824e-001
4.363107199787326e-010	3.215674e-001	1.400140e-001
4.373107199787326e-010	3.341819e-001	1.221697e-001
4.383107199787326e-010	3.433171e-001	1.032580e-001
4.393107199787326e-010	3.493736e-001	8.329447e-002
4.403107199787326e-010	3.531468e-001	6.229904e-002
4.413107199787326e-010	3.554501e-001	4.029447e-002
4.423107199787326e-010	3.569435e-001	1.730661e-002
4.433107199787326e-010	3.580695e-001	-6.635967e-003
4.443107199787326e-010	3.590595e-001	-3.150299e-002
4.453107199787326e-010	3.600207e-001	-5.726289e-002
4.463107199787326e-010	3.610031e-001	-8.388291e-002
4.473107199787326e-010	3.620278e-001	-1.113292e-001
4.483107199787325e-010	3.631027e-001	-1.395669e-001
4.493107199787325e-010	3.642293e-001	-1.685602e-001
4.503107199787325e-010	3.654059e-001	-1.982725e-001
4.513107199787325e-010	3.666296e-001	-2.286664e-001
4.523107199787325e-010	3.678972e-001	-2.597037e-001
4.533107199787325e-010	3.692050e-001	-2.913454e-001
4.543107199787325e-010	3.705493e-001	-3.235522e-001
4.553107199787325e-010	3.719267e-001	-3.562841e-001
4.563107199787325e-010	3.733338e-001	-3.895006e-001
4.573107199787325e-010	3.747674e-001	-4.231608e-001
4.583107199787325e-010	3.762244e-001	-4.572234e-001
4.593107199787325e-010	3.777019e-001	-4.916470e-001
4.603107199787325e-010	3.791970e-001	-5.263897e-001
4.613107199787325e-010	3.807071e-001	-5.614099e-001
4.623107199787325e-010	3.822296e-001	-5.966654e-001
4.633107199787325e-010	3.837624e-001	-6.321144e-001
4.643107199787325e-010	3.853029e-001	-6.677147e-001
4.653107199787325e-010	3.868492e-001	-7.034247e-001
4.663107199787325e-010	3.883991e-001	-7.392026e-001
4.673107199787325e-010	3.899507e-001	-7.750070e-001
4.683107199787325e-010	3.915023e-001	-8.107967e-001
4.693107199787325e-010	3.930520e-001	-8.465309e-001
4.703107199787325e-010	3.945982e-001	-8.821691e-001
4.713107199787325e-010	3.961393e-001	-9.176713e-001
4.723107199787325e-010	3.976738e-001	-9.529982e-001
4.733107199787325e-010	3.992004e-001	-9.881107e-001
